station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,add,lon,lat,open_ymd,close_ymd,e_status,e_sort
#駅データ.jp以外(Wikipedia)から取ってきた位置情報ではstation_cdを5桁にする,,,,,,,,,,,,,,
#pref_cd・e_statusは後でまとめて変える,,,,,,,,,,,,,,
#JR北海道,,,,,,,,,,,,,,
1110609,1110609,島ノ下,,,11106,1,076-0036,富良野市字島ノ下,142.350406,43.3744,1913/11/10,2017/3/4,2,1110609
1110711,1110711,稲士別,,,11107,1,089-0564,中川郡幕別町稲志別,143.297528,42.903963,1959/10/7,2017/3/4,2,1110711
1110719,1110719,上厚内,,,11107,1,089-5866,十勝郡浦幌町字上厚内,143.749788,42.831881,1910/12/1,2017/3/4,2,1110719
1110819,1110819,花咲,,,11108,1,087-0032,根室市花咲港,145.575045,43.295388,1921/8/5,2016/3/26,2,1110819
1111627,1111627,金華,,,11116,1,091-0021,北見市留辺蘂町金華,143.57114,43.803484,1914/10/5,2016/3/26,2,1111627
1111620,1111620,下白滝,,,11116,1,099-0101,紋別郡遠軽町下白滝,143.276088,43.944553,1929/8/12,2016/3/26,2,1111620
1111619,1111619,旧白滝,,,11116,1,099-0102,紋別郡遠軽町旧白滝,143.236729,43.919905,1947/2/11,2016/3/26,2,1111619
1111617,1111617,上白滝,,,11116,1,099-0127,紋別郡遠軽町上白滝,143.1444,43.876501,1932/10/1,2016/3/26,2,1111617
1111721,1111721,五十石,,,11117,1,088-2331,川上郡標茶町オソツベツ原野,144.545558,43.238771,1927/9/15,2017/3/4,2,1111721
#留萌本線廃止区間,,,,,,,,,,,,,,
1111313,1111313,瀬越,,,11113,1,077-0047,留萌市瀬越町,141.634535,43.934987,1926/7/1,2016/12/5,2,1111313
1111315,1111315,礼受,,,11113,1,077-0035,留萌市礼受町,141.611358,43.904871,1921/11/5,2016/12/5,2,1111315
1111316,1111316,阿分,,,11113,1,077-0200,増毛郡増毛町大字阿分村,141.605598,43.894339,1963/12/1,2016/12/5,2,1111316
1111317,1111317,信砂,,,11113,1,077-0200,増毛郡増毛町大字舎熊村字信砂,141.589039,43.874479,1963/12/1,2016/12/5,2,1111317
1111318,1111318,舎熊,,,11113,1,077-0200,増毛郡増毛町大字舎熊村字舎熊,141.580068,43.869113,1921/11/5,2016/12/5,2,1111318
1111319,1111319,朱文別,,,11113,1,077-0200,増毛郡増毛町大字朱文別,141.564328,43.860678,1963/12/1,2016/12/5,2,1111319
1111320,1111320,箸別,,,11113,1,077-0200,増毛郡増毛町増毛村大字箸別,141.55164,43.859125,1963/12/1,2016/12/5,2,1111320
1111321,1111321,増毛,,,11113,1,077-0205,増毛郡増毛町弁天町１丁目,141.527559,43.856522,1921/11/5,2016/12/5,2,1111321
#留萌本線ここまで,,,,,,,,,,,,,,
1110904,1110904,美々,,,11109,1,066-0012,千歳市美々,141.711387,42.777418,1926/8/21,2017/3/4,2,1110904
1111003,1111003,東追分,,,11110,1,059-1984,勇払郡安平町追分向陽,141.83228,42.902377,1965/3/1,2016/3/26,2,1111003
1111006,1111006,十三里,,,11110,1,068-0755,夕張市紅葉山,142.024478,42.914667,1962/12/25,2016/3/26,2,1111006
1110132,1110132,鷲ノ巣,,,11101,1,049-3122,二海郡八雲町花浦,140.269919,42.278389,1987/4/1,2016/3/26,2,1110132
1110112,1110112,東山,,,11101,1,049-2141,茅部郡森町字駒ケ岳,140.605222,42.06172,1943/2/26,2017/3/4,2,1110112
1110113,1110113,姫川,,,11101,1,049-2306,茅部郡森町字姫川,140.591632,42.081312,1951/5/19,2017/3/4,2,1110113
1110124,1110124,桂川,,,11101,1,049-2321,茅部郡森町字鷲ノ木町,140.5427876,42.1156004,1944/9/30,2017/3/4,2,1110124
1110135,1110135,北豊津,,,11101,1,049-3464,山越郡長万部町字豊津,140.297868,42.400969,1944/7/1,2017/3/4,2,1110135
1110203,1110203,蕨岱,,,11102,1,049-3503,山越郡長万部町字蕨岱,140.313353,42.626353,1904/10/15,2017/3/4,2,1110203
#江差線廃線区間,,,,,,,,,,,,,,
1111901,1111901,江差,,,11119,1,043-0056,檜山郡江差町字陣屋町,140.127933,41.856727,1936/11/10,2014/5/12,2,1111901
1111902,1111902,上ノ国,,,11119,1,049-0611,檜山郡上ノ国町字大留,140.124106,41.805567,1936/11/10,2014/5/12,2,1111902
1111903,1111903,中須田,,,11119,1,049-0624,檜山郡上ノ国町字中須田,140.149321,41.787214,,2014/5/12,2,1111903
1111904,1111904,桂岡,,,11119,1,049-0626,檜山郡上ノ国町字桂岡,140.166071,41.773096,1936/11/10,2014/5/12,2,1111904
1111905,1111905,宮越,,,11119,1,049-0564,檜山郡上ノ国町字早瀬,140.184998,41.762404,1964/12/30,2014/5/12,2,1111905
1111906,1111906,湯ノ岱,,,11119,1,049-0562,檜山郡上ノ国町字湯ノ岱,140.243698,41.750312,1935/12/10,2014/5/12,2,1111906
1111907,1111907,神明,,,11119,1,049-0561,檜山郡上ノ国町字神明,140.265709,41.734481,1957/1/25,2014/5/12,2,1111907
1111908,1111908,吉堀,,,11119,1,049-0453,上磯郡木古内町字大川,140.379226,41.684059,1935/12/10,2014/5/12,2,1111908
1111909,1111909,渡島鶴岡,,,11119,1,049-0455,上磯郡木古内町字鶴岡,140.41137,41.671014,1964/12/30,2014/5/12,2,1111909
#江差線廃線区間ここまで,,,,,,,,,,,,,,
1111805,1111805,知内,,,11118,1,049-1221,上磯郡知内町湯ノ里,140.33494,41.601092,1990/7/1,2014/3/14,2,1111805
#青森県,,,,,,,,,,,,,,
1111803,1111803,竜飛海底,,,11118,2,030-1400,東津軽郡外ヶ浜町三厩宇鉄立浜,140.347946,41.257228,1988/3/13,2014/3/14,2,1111803
#十和田観光電鉄,,,,,,,,,,,,,,
#9920401,1120105,三沢,,,99204,2,033-0000,三沢市犬落瀬,141.353638,40.668498,,,2,9920401
9920402,9920402,大曲,,,99204,2,033-0071,上北郡六戸町大字犬落瀬字柳沢９０-２８,141.343038,40.648069,,,2,9920402
9920403,9920403,柳沢,,,99204,2,033-0071,上北郡六戸町大字犬落瀬字柳沢,141.320889,40.642973,,,2,9920403
9920404,9920404,七百,,,99204,2,033-0071,上北郡六戸町大字犬落瀬字権現沢１４-６６,141.305855,40.643631,,,2,9920404
9920405,9920405,古里,,,99204,2,039-2372,上北郡六戸町大字折茂字古里,141.28486,40.63877,,,2,9920405
9920406,9920406,三農校前,,,99204,2,039-2372,上北郡六戸町大字折茂字今熊２４７,141.267245,40.636861,,,2,9920406
9920407,9920407,高清水,,,99204,2,034-0041,十和田市大字相坂字高清水７７-３,141.259046,40.635,,,2,9920407
9920408,9920408,北里大学前,,,99204,2,034-0001,十和田市大字三本木字前谷地,141.236837,40.628666,,,2,9920408
9920409,9920409,工業高校前,,,99204,2,034-0001,十和田市大字三本木字下平２１５,141.22926,40.627338,,,2,9920409
9920410,9920410,ひがし野団地,,,99204,2,034-0001,十和田市大字三本木字下平６０,141.223714,40.626624,,,2,9920410
9920411,9920411,十和田市,,,99204,2,034-0012,十和田市東一番町７-２７,141.214062,40.623747,,,2,9920411
#十和田観光電鉄ここまで,,,,,,,,,,,,,,
#岩手県,,,,,,,,,,,,,,
# 岩泉線,,,,,,,,,,,,,,
1120702,1120702,岩手刈屋,,,11207,3,028-2104,宮古市刈屋,141.759296,39.642688,1942/6/25,2014/4/1,2,1120702
1120703,1120703,中里,,,11207,3,028-2104,宮古市刈屋,141.736067,39.661836,1966/10/1,2014/4/1,2,1120703
1120704,1120704,岩手和井内,,,11207,3,028-2105,宮古市和井内,141.715705,39.679905,1942/6/25,2014/4/1,2,1120704
1120705,1120705,押角,,,11207,3,028-2105,宮古市和井内,141.693181,39.724029,1944/7/20,2014/4/1,2,1120705
1120706,1120706,岩手大川,,,11207,3,028-2232,下閉伊郡岩泉町大字大川,141.671909,39.800208,1957/5/16,2014/4/1,2,1120706
1120707,1120707,浅内,,,11207,3,028-2231,下閉伊郡岩泉町大字浅内,141.727016,39.819482,1957/5/16,2014/4/1,2,1120707
1120708,1120708,二升石,,,11207,3,027-0507,下閉伊郡岩泉町大字二升石,141.745741,39.836739,1972/2/6,2014/4/1,2,1120708
1120709,1120709,岩泉,,,11207,3,027-0501,下閉伊郡岩泉町大字岩泉,141.786446,39.845044,1972/2/6,2014/4/1,2,1120709
#山田線,,,,,,,,,,,,,,
1121305,1121305,大志田,,,11213,3,020-0801,盛岡市浅岸字大志田,141.280843,39.741806,1928/9/25,2016/3/26,2,1121305
1121306,1121306,浅岸,,,11213,3,020-0803,盛岡市新庄字中津川,141.339147,39.711208,1928/9/25,2016/3/26,2,1121306
#秋田県,,,,,,,,,,,,,,
#羽後交通横荘線,,,,,,,,,,,,,,
10001,10001,羽後大森,,,900001,,,,140.422194,39.338722,,,2,
10002,10002,羽後里美,,,900001,,,,140.449694,39.280611,,,2,
#羽後交通雄勝線,,,,,,,,,,,,,,
10003,10003,羽後三輪,,,900001,,,,140.438083,39.193722,,,2,
10004,10004,羽後山田,,,900001,,,,140.465028,39.164722,,,2,
#福島県,,,,,,,,,,,,,,
#只見線,,,,,,,,,,,,,,
1122729,1122729,田子倉,,,11227,7,968-0423,南会津郡只見町大字田子倉後山,139.255142,37.317869,1971/8/29,2013/3/16,2,1122729
#新潟県,,,,,,,,,,,,,,
#只見線,,,,,,,,,,,,,,
1122731,1122731,柿ノ木,,,11227,15,946-0304,魚沼市穴沢,139.08933,37.341195,1987/4/1,2015/3/14,2,1122731
#茨城県,,,,,,,,,,,,,,
#鹿島臨海鉄道鹿島臨港線,,,,,,,,,,,,,,
10005,10005,居切,,,900003,,,,140.650556,35.929972,,,2,
10006,10006,鹿島港南,,,900003,,,,140.691111,35.878611,,,2,
#東京都,,,,,,,,,,,,,,
10007,10007,中千住,,,21002,東京,,,139.8052,35.74597,,,2,
10008,10008,武蔵横山,,,900004,,,,139.301472,35.652028,,,2,
10009,10009,多摩御陵前,,,900004,,,,139.289861,35.650111,,,2,
10010,10010,上り屋敷,,,22001,,,,139.704778,35.725278,,,2,
10011,10011,東国分寺,,,22011,,,,139.478056,35.707611,,,2,
10012,10012,西千住,,,23001,,,,139.793167,35.744333,,,2,
10013,10013,博物館動物園,,,23001,,,,139.773472,35.718639,,,2,
10014,10014,昌平橋,,,900005,,,,139.768583,35.698278,,,2,
#東京都ここまで,,,,,,,,,,,,,,
#神奈川,,,,,,,,,,,,,,
10015,10015,二宮(湘南軌道),,,900006,,,,139.257778,35.298778,,,2,
10016,10016,中里,,,900006,,,,139.249389,35.308528,,,2,
10017,10017,一色,,,900006,,,,139.242028,35.318972,,,2,
10018,10018,下井ノ口,,,900006,,,,139.235278,35.331111,,,2,
10019,10019,上井ノ口,,,900006,,,,139.232222,35.343056,,,2,
10020,10020,大竹,,,900006,,,,139.234722,35.360278,,,2,
10021,10021,台町,,,900006,,,,139.232194,35.370028,,,2,
#,,秦野,,,900006,,,,,,,,2,
#京都府,,,,,,,,,,,,,,
#,,福知山,,,900007,,,,,,,,,
10022,10022,福知山西,,,900007,,,,135.117472,35.303528,,,2,
10023,10023,下川停留所,,,900007,,,,135.109778,35.330028,,,2,
10024,10024,上天津,,,900007,,,,135.108139,35.340333,,,2,
10025,10025,下天津(北丹鉄道),,,900007,,,,135.113306,35.357472,,,2,
10026,10026,公庄(北丹鉄道),,,900007,,,,135.127944,35.371556,,,2,
10027,10027,蓼原停留所,,,900007,,,,135.141278,35.383139,,,2,
10028,10028,河守,,,900007,,,,135.146444,35.389,,,2,
#兵庫県,,,,,,,,,,,,,,
#三木鉄道(座標はWikipediaのものに置き換え),,,,,,,,,,,,,,
#9964201,1163204,厄神,,,99642,28,675-1213,加古川市上荘町国包,134.9068,34.794672,,,2,9964201
9964202,9964202,国包,,,99642,28,675-1213,兵庫県加古川市上荘町国包,134.9166,34.797397,,,2,9964202
9964203,9964203,宗佐,,,99642,28,675-1201,兵庫県加古川市八幡町宗佐,134.922511,34.798175,,,2,9964203
9964204,9964204,下石野,,,99642,28,673-0453,兵庫県三木市別所町下石野1丁目,134.927631,34.797067,,,2,9964204
9964205,9964205,石野,,,99642,28,673-0453,兵庫県三木市別所町下石野3丁目,134.933939,34.794961,,,2,9964205
9964206,9964206,西這田,,,99642,28,673-0445,兵庫県三木市別所町西這田1丁目,134.95175,34.795028,,,2,9964206
9964207,9964207,別所,,,99642,28,673-0444,兵庫県三木市別所町東這田,134.96335,34.794461,,,2,9964207
9964208,9964208,高木,,,99642,28,673-0435,兵庫県三木市別所町高木,134.970381,34.793667,,,2,9964208
9964209,9964209,三木,,,99642,28,673-0403,兵庫県三木市末広一丁目1-35,134.977478,34.794672,,,2,9964209
#三木鉄道ここまで,,,,,,,,,,,,,,
#岡山県,,,,,,,,,,,,,,
#下津井電鉄は2017/03/31、2017/04/28に一部座標変更あり,,,,,,,,,,,,,,
10029,10029,下津井,,,900008,,,,133.789556,34.439,,,2,
10030,10030,東下津井,,,900008,,,,133.802222,34.441528,,,2,
10031,10031,鷲羽山,,,900008,,,,133.806556,34.440028,,,2,
10032,10032,琴海,,,900008,,,,133.80825,34.447833,,,2,
10033,10033,阿津,,,900008,,,,133.8037,34.45546,,,2,
10034,10034,備前赤崎,,,900008,,,,133.79984,34.45876,,,2,
10035,10035,児島(下津井電鉄),,,900008,,,,133.802167,34.467194,,,2,
10036,10036,児島小川,,,900008,,,,133.79929,34.481421,,,2,
10037,10037,柳田,,,900008,,,,133.792194,34.48714,,,2,
10038,10038,稗田,,,900008,,,,133.8066,34.50507,,,2,
10039,10039,福田,,,900008,,,,133.803136,34.523641,,,2,
10040,10040,林,,,900008,,,,133.814424,34.537004,,,2,
10041,10041,藤戸,,,900008,,,,133.819312,34.557737,,,2,
10042,10042,天城,,,900008,,,,133.816706,34.562224,,,2,
10043,1170908,茶屋町,,,900008,,,,133.825906,34.57694,,,2,
#鳥取県 国鉄倉吉線,,,,,,,,,,,,,,
10044,1161628,倉吉,,,900009,,,,133.849661,35.45473,,,2,
10045,10045,上灘,,,900009,,,,133.841489,35.439606,,,2,
10046,10046,打吹,,,900009,,,,133.824397,35.434458,,,2,
10047,10047,西倉吉,,,900009,,,,133.804764,35.427211,,,2,
10048,10048,小鴨,,,900009,,,,133.799347,35.410144,,,2,
10049,10049,上小鴨,,,900009,,,,133.786675,35.398164,,,2,
10050,10050,関金,,,900009,,,,133.755553,35.370772,,,2,
10051,10051,泰久寺,,,900009,,,,133.724139,35.366083,,,2,
10052,10052,山守,,,900009,,,,133.709267,35.360681,,,2,
