line_cd,company_cd,line_name,line_name_k,line_name_h,line_color_c,line_color_t,line_type,lon,lat,zoom,e_status,e_sort
#line_cdは900001から,,,,,,,,,,,,
900001,,羽後交通横荘線,,,,,,,,,2,
900002,,羽後交通雄勝線,,,,,,,,,2,
900003,,鹿島臨海鉄道鹿島臨港線,,,,,,,,,2,
900004,,京王御陵線,,,,,,,,,2,
900005,,鉄道院中央本線,,,,,,,,,2,
900006,,湘南軌道,,,,,,,,,2,
900007,,北丹鉄道,,,,,,,,,2,
900008,,下津井電鉄,,,,,,,,,2,
900009,,倉吉線,,,,,,,,,2,
